date,close,volume,ma_3,ma_6,rsi,bb_ma,bb_upper,bb_lower,month,quarter
2020-02-01,19.58409118652344,11910578745,17.174237569173176,17.183595180511475,46.1194363007687,21.720269107818602,35.47956829373176,7.960969921905443,2,1
2020-03-01,12.581605911254885,11037850343,16.792225519816082,16.636750380198162,42.94972475145088,19.703613185882567,32.12577742660123,7.2814489451639,3,1
2020-04-01,17.03397560119629,12590980024,16.399890899658203,16.14237419764201,43.711265400934415,18.162762546539305,26.811560776019913,9.513964317058697,4,2
2020-05-01,17.04047203063965,10714129554,15.55201784769694,16.36312770843506,53.4303158533057,17.102353954315184,22.616548864094522,11.588159044535846,5,2
2020-06-01,15.413581848144531,6045042589,16.496009826660156,16.644117673238117,54.44963661621465,16.51712064743042,21.254959277186085,11.779282017674756,6,2
2020-07-01,20.66814613342285,6223574246,17.70740000406901,17.053645451863606,56.23142864357014,16.99766778945923,22.372484211375767,11.62285136754269,7,3
2020-08-01,23.193050384521484,7968315650,19.758259455362957,17.65513865152995,58.64723340118401,17.316949558258056,23.758047705833285,10.875851410682825,8,3
2020-09-01,29.290876388549805,16519091220,24.384024302164715,20.440017064412434,91.85049321695317,18.674442100524903,28.466304804976225,8.882579396073583,9,3
2020-10-01,28.431215286254883,15356628816,26.97171401977539,22.3395570119222,84.81063348516459,20.144799423217773,30.99397921889441,9.295619627541138,10,4
2020-11-01,31.392786026000977,11234149914,29.704959233601887,24.731609344482422,87.13325906101845,21.46298007965088,34.290677899955035,8.635282259346726,11,4
2020-12-01,37.376033782958984,13047859902,32.400011698404946,28.392018000284832,96.36994636789258,23.242174339294433,39.411787172376606,7.0725615062122635,12,4
2021-01-01,44.27599334716797,18898999513,37.68160438537598,32.326659202575684,96.60577505486029,26.411613082885744,45.46239033725153,7.36083582851996,1,1
2021-02-01,209.57440185546875,122028876493,97.0754763285319,63.390217781066895,99.54297819061627,45.66565570831299,162.22767122601252,-70.89635980938655,2,1
2021-03-01,302.0634460449219,109661910015,185.3046137491862,108.85231272379558,99.68681730579847,74.1679531097412,271.2203420442628,-122.88443582478041,3,1
2021-04-01,624.08056640625,178737768744,378.5728047688802,208.12720457712808,100.0,135.03465156555177,529.0289861423879,-258.95968301128437,4,2
2021-05-01,354.329345703125,146862616411,426.82445271809894,261.94996452331543,68.7222840845242,168.40077152252198,575.6399537561759,-238.83841071113196,5,2
2021-06-01,303.2958679199219,79211167226,427.2352600097656,306.2699368794759,64.65140439252448,196.411053276062,597.749971783212,-204.92786523108796,6,2
2021-07-01,333.5495910644531,49749767961,330.3916015625,354.4822031656901,65.5382593717451,226.83692474365233,617.8666623864851,-164.19281289918052,7,3
2021-08-01,464.4187316894531,66760825277,367.0880635579427,396.9562581380208,64.21466016265919,270.4356763839722,660.3680656075951,-119.49671283965074,8,3
2021-09-01,387.0573425292969,59925799119,395.00855509440106,411.1219075520833,54.82215135392771,306.0021320343018,662.476058324849,-50.47179425624546,9,3
2021-10-01,524.3644409179688,64570070639,458.61350504557294,394.50255330403644,42.84240927345689,354.7009727478027,679.7459827538518,29.655962741753683,10,4
2021-11-01,622.6698608398438,80405088661,511.36388142903644,439.22597249348956,75.54990077563997,412.5403594970703,695.1565438619828,129.92417513215787,11,4
2021-12-01,511.7083129882813,63870991050,552.9142049153646,473.9613800048828,67.8112538756721,442.7537506103516,691.5038753529949,194.00362586770825,12,4
2022-01-01,375.2773132324219,84104399663,503.21849568684894,480.91600036621094,53.018342980841666,450.07513732910155,684.3073924629805,215.84288219522256,1,1
2022-02-01,395.6124267578125,47693175772,427.5326843261719,469.4482828776042,44.075588163373865,427.2283233642578,628.2415506100604,226.2150961184552,2,1
2022-03-01,428.9161071777344,54068965963,399.93528238932294,476.42474365234375,53.90005064616798,434.68699951171874,629.1052012303898,240.26879779304772,3,1
2022-04-01,377.767822265625,55167230563,400.7654520670573,451.9919738769531,33.72902498893404,442.1341949462891,619.1063078629438,265.16208202963435,4,2
2022-05-01,320.485107421875,63775385603,375.72301228841144,401.6278483072917,13.099811272970598,440.82774658203124,621.5163749027843,260.1391182612782,5,2
2022-06-01,219.3000946044922,38608308080,305.85100809733075,352.89314524332684,13.420239874238973,416.31588287353514,643.3435437410393,189.28822200603102,6,2
2022-07-01,283.5794677734375,39049264274,274.45488993326825,337.6101710001628,36.001789867171546,405.96809539794924,647.8685652443853,164.06762555151323,7,3
2022-08-01,279.23809814453125,38209345752,260.7058868408203,318.2144495646159,31.32275697730836,381.4554611206055,619.6847989267923,143.2261233144187,8,3
2022-09-01,284.1922912597656,25812104854,282.3366190592448,294.0938135782878,24.44766213547328,347.60770416259766,520.8304511928941,174.38495713230122,9,3
2022-10-01,326.3607177734375,24373827093,296.59703572591144,285.52596282958984,40.626362982673236,329.0729446411133,458.34582004314075,199.8000692390858,10,4
2022-11-01,300.7943420410156,42722804274,303.78245035807294,282.2441685994466,45.93996049366806,321.62464752197263,447.60680868675564,195.64248635718963,11,4
2022-12-01,246.3491973876953,21367466768,291.1680857340495,286.75235239664715,56.90892160506452,306.6983245849609,429.0369018547715,184.35974731515034,12,4
